State,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,Williams,67,171,7,126.13,36729,4844289,4844289
AR,Williams,75,192,4,83.20,11315,3933012,3933012
IA,Williams,99,222,4,333.63,23062,5288753,5288753
KS,Williams,105,263,4,367.65,55429,4015151,4015151
ME,Williams,16,34,2,0.07,97,1200838,1200838
MS,Williams,82,202,4,148.47,12572,4723142,4723142
NE,Williams,93,231,3,7.18,945,2525974,2525974
NM,Williams,33,78,3,0.45,286,1753079,1753079
WV,Williams,55,125,2,0.79,2072,3900450,3900450
ID,Williams,44,102,2,0.40,1,3237073,3237073
MT,Williams,56,138,2,2.64,805,1750471,1750471
AL,Hess,67,171,7,53.46,3834,4844289,4844289
AR,Hess,75,192,4,1.67,1,3930146,3930146
IA,Hess,99,222,4,5.23,1,5286772,5286772
KS,Hess,105,263,4,10.34,1,4007553,4007553
ME,Hess,16,34,2,0.03,1,1200838,1200838
MS,Hess,82,202,4,3.23,1,4721804,4721804
NE,Hess,93,231,3,2.68,1,2525974,2525974
NM,Hess,33,78,3,0.70,1,1743350,1743350
WV,Hess,55,125,2,0.52,1,3900450,3900450
ID,Hess,44,102,2,0.27,1,3237073,3237073
MT,Hess,56,138,2,0.46,1,1750471,1750471
